symbol,company_name,market_cap,latest_volume,cycle,isPurePrediction,release_date,whenInTheDay,end_price(first_available_sell_point),did_end_price_date_calculation_succeed,prediction [%],factor_price_change_list,weight_distribution_list,confidence,actual_price_change [%],digression [%],signComparison(predict/actual),start_price,n_open_price,n_close_price,n_high_price,n_low_price,n+1_open_price,n+1_close_price,n+1_high_price,n+1_low_price,n+2_close_price,n+2_high_price,n+2_low_price,n+3_close_price,n+3_high_price,n+3_low_price,n+4_close_price,n+4_high_price,n+4_low_price,n+5_close_price,n+5_high_price,n+5_low_price,prediction 0 [%],factor_price_change_list_parsed,prediction_by_factor_1,prediction_by_factor_2,prediction_by_factor_3,prediction_by_factor_4,is_false_positive_factor_1,is_false_negative_factor_1,is_false_positive_factor_2,is_false_negative_factor_2,is_false_positive_factor_3,is_false_negative_factor_3,is_false_positive_factor_4,is_false_negative_factor_4,end_price,didWin,didWin_always_buy
ARR,ARMOUR Residential REIT Inc.,1386471622.0,3582066,4,False,2025-02-12,After market close,18.82,True,3.35,"[5.0, 2.5, -0.5, 5.0]","[0.32, 0.2, 0.21, 0.27]",0.6,-1.26,4.61,+/-,19.06,18.98,18.91,19.06,18.81,18.82,19.21,19.24,18.6,19.18,19.25,18.86,18.95,19.17,18.9,18.96,19.04,18.89,18.94,19.11,18.85,3.35,"[5.0, 2.5, -0.5, 5.0]",5.0,2.5,-0.5,5.0,True,False,True,False,False,False,True,False,18.82,False,False
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,21839520985.0,16979249,4,False,2025-02-13,Before market open,10.57,True,2.84,"[8.0, 5.0, -0.1, 1.0]","[0.18, 0.21, 0.24, 0.37]",0.8,3.22,-0.38,+/+,10.24,10.57,10.81,10.9,10.51,10.92,10.88,11.06,10.74,11.03,11.14,10.92,11.36,11.37,11.23,11.18,11.24,11.05,10.94,11.25,10.87,2.84,"[8.0, 5.0, -0.1, 1.0]",8.0,5.0,-0.1,1.0,False,False,False,False,False,True,False,False,10.57,True,True
ASGN,ASGN Incorporated Common Stock,2551788000.0,501451,4,False,2025-02-05,After market close,84.58,True,4.65,"[12.0, 5.2, -1.0, 2.5]","[0.26, 0.18, 0.23, 0.33]",0.65,-2.78,7.43,+/-,87.0,87.83,87.88,88.15,86.45,84.58,82.73,88.13,81.64,78.77,83.64,78.69,80.21,81.54,79.32,79.47,81.62,78.43,77.36,79.01,77.23,4.65,"[12.0, 5.2, -1.0, 2.5]",12.0,5.2,-1.0,2.5,True,False,True,False,False,False,True,False,84.58,False,False
ASML,ASML Holding N.V. New York Registry Shares,295041446744.0,2571454,5,False,2025-04-16,Before market open,647.0,True,6.2,"[5.0, 2.5, -4.627067, 15.0]","[0.23, 0.19, 0.21, 0.37]",0.75,-5.29,11.49,+/-,683.16,647.0,634.93,653.13,624.17,644.36,640.16,647.66,636.93,624.69,633.66,614.06,638.69,645.61,631.0,657.98,666.49,654.79,675.0,678.32,662.56,6.2,"[5.0, 2.5, -4.627067, 15.0]",5.0,2.5,-4.627067,15.0,True,False,True,False,False,False,True,False,647.0,False,False
ASTS,AST SpaceMobile Inc. Class A Common Stock,8595917913.0,14764346,4,False,2025-03-03,After market close,24.52,True,107.85,"[15.0, 15.0, 1.0, 250.0]","[0.13, 0.21, 0.25, 0.41]",0.75,-9.55,117.4,+/-,27.11,29.08,25.62,29.1,24.89,24.52,28.61,30.7,24.48,33.8,34.1,28.95,32.18,35.49,30.82,33.4,34.06,29.55,29.14,32.8,28.34,107.85,"[15.0, 15.0, 1.0, 250.0]",15.0,15.0,1.0,250.0,True,False,True,False,True,False,True,False,24.52,False,False
T,AT&T Inc.,194353214828.0,57106063,4,False,2025-01-27,Before market open,23.5,True,2.44,"[5.0, 3.0, -1.0, 2.5]","[0.26, 0.18, 0.23, 0.33]",0.73,3.43,-0.99,+/+,22.72,23.5,24.14,24.37,23.35,24.06,24.4,24.58,23.92,24.23,24.98,24.2,24.02,24.23,23.78,23.73,24.14,23.66,24.25,24.43,23.67,2.44,"[5.0, 3.0, -1.0, 2.5]",5.0,3.0,-1.0,2.5,False,False,False,False,False,True,False,False,23.5,True,True
ATI,ATI Inc. Common Stock,10354360225.0,2197997,4,False,2025-02-04,Before market open,64.01,True,4.98,"[8.0, 5.0, 1.5, 5.0]","[0.26, 0.18, 0.23, 0.33]",0.75,10.44,-5.46,+/+,57.96,64.01,63.72,66.0,61.66,64.17,65.86,65.86,62.67,63.51,66.8,62.74,62.76,64.55,62.42,63.21,64.18,62.75,61.86,63.72,61.6,4.98,"[8.0, 5.0, 1.5, 5.0]",8.0,5.0,1.5,5.0,False,False,False,False,False,False,False,False,64.01,True,True
ABBV,AbbVie Inc. Common Stock,335740223342.0,12792682,4,False,2025-01-31,Before market open,187.3,True,5.97,"[7.5, 4.5, -0.5, 10.0]","[0.25, 0.18, 0.23, 0.34]",0.85,6.63,-0.66,+/+,175.65,187.3,183.9,191.77,183.67,183.18,190.14,191.66,182.15,189.95,191.15,187.05,191.75,193.38,189.92,192.97,194.49,190.56,190.6,193.86,190.44,5.97,"[7.5, 4.5, -0.5, 10.0]",7.5,4.5,-0.5,10.0,False,False,False,False,False,True,False,False,187.3,True,True
ABT,Abbott Laboratories Common Stock,229641015015.0,5958544,4,False,2025-01-22,Before market open,114.13,True,5.65,"[5.0, 3.5, 2.5, 10.0]","[0.28, 0.19, 0.215, 0.305]",0.9,-2.28,7.93,+/-,116.79,114.13,117.78,119.94,113.5,118.13,123.22,123.23,117.78,125.03,125.67,122.18,129.43,129.76,125.47,127.39,129.85,126.67,127.86,129.3,127.63,5.65,"[5.0, 3.5, 2.5, 10.0]",5.0,3.5,2.5,10.0,True,False,True,False,True,False,True,False,114.13,False,False
ANF,Abercrombie & Fitch Company Common Stock,3820094186.0,3288409,4,False,2025-03-05,Before market open,84.14,True,4.01,"[5.0, 5.0, 0.5, 5.0]","[0.26, 0.18, 0.22, 0.34]",0.76,-12.45,16.46,+/-,96.11,84.14,87.23,87.71,79.77,85.9,83.58,88.03,82.98,86.03,87.38,81.59,78.17,84.35,77.19,78.69,79.37,75.62,76.52,80.12,75.02,4.01,"[5.0, 5.0, 0.5, 5.0]",5.0,5.0,0.5,5.0,True,False,True,False,True,False,True,False,84.14,False,False
ACN,Accenture plc Class A Ordinary Shares (Ireland),218594840126.0,3271417,4,False,2025-03-20,Before market open,296.15,True,5.17,"[8.5, 5.0, 1.5, 5.0]","[0.26, 0.2, 0.21, 0.33]",0.85,-8.73,13.9,+/-,324.47,296.15,300.91,306.85,291.51,298.05,305.32,305.6,295.58,307.18,310.46,305.18,308.9,312.47,305.42,311.16,312.75,309.02,308.53,313.0,307.48,5.17,"[8.5, 5.0, 1.5, 5.0]",8.5,5.0,1.5,5.0,True,False,True,False,True,False,True,False,296.15,False,False
AYI,Acuity Inc. Common Stock,8387293838.0,350258,4,False,2025-01-08,Before market open,304.0,True,7.15,"[10.0, 5.0, 0.0, 10.0]","[0.24, 0.17, 0.2, 0.39]",0.7,0.04,7.11,+/+,303.87,304.0,313.64,313.73,297.51,310.51,305.26,312.2,302.95,306.36,306.44,301.08,321.97,325.76,312.51,326.19,328.28,322.79,330.75,332.1,325.19,7.15,"[10.0, 5.0, 0.0, 10.0]",10.0,5.0,0.0,10.0,False,False,False,False,False,False,False,False,304.0,True,True
ADBE,Adobe Inc. Common Stock,168908004000.0,3157670,4,False,2025-03-12,After market close,405.27,True,5.94,"[5.0, 5.0, 2.5, 10.0]","[0.275, 0.2, 0.225, 0.3]",0.65,-6.55,12.49,+/-,433.66,436.69,438.6,443.9,435.5,405.27,377.84,405.77,374.5,394.74,396.36,377.8,399.34,399.94,387.13,391.37,395.95,384.57,387.89,395.26,387.0,5.94,"[5.0, 5.0, 2.5, 10.0]",5.0,5.0,2.5,10.0,True,False,True,False,True,False,True,False,405.27,False,False
AAP,Advance Auto Parts Inc.,1995888537.0,2963980,4,False,2025-02-26,Before market open,43.5,True,-2.65,"[-10.0, 6.5, 2.0, -2.5]","[0.38, 0.2, 0.2, 0.22]",0.2,-5.19,2.54,-/-,45.88,43.5,37.7,44.01,37.05,37.76,36.96,38.69,36.43,36.9,38.08,36.17,35.41,37.22,35.02,34.58,35.81,34.57,34.35,35.18,33.94,-2.65,"[-10.0, 6.5, 2.0, -2.5]",-10.0,6.5,2.0,-2.5,False,False,True,False,True,False,False,False,43.5,True,False
WMS,Advanced Drainage Systems Inc. Common Stock,9500568733.0,875017,4,False,2025-02-06,Before market open,122.12,True,4.08,"[5.0, 5.0, 1.0, 5.0]","[0.26, 0.18, 0.23, 0.33]",0.6,5.27,-1.19,+/+,116.01,122.12,117.68,122.12,112.21,118.58,120.43,122.43,117.8,125.13,125.99,120.68,126.99,130.29,123.3,124.75,125.2,122.2,126.08,126.26,124.14,4.08,"[5.0, 5.0, 1.0, 5.0]",5.0,5.0,1.0,5.0,False,False,False,False,False,False,False,False,122.12,True,True
AEIS,Advanced Energy Industries Inc. Common Stock,4419988974.0,505386,4,False,2025-02-12,After market close,115.8,True,9.6,"[15.0, 3.0, 0.5, 15.0]","[0.215, 0.19, 0.215, 0.38]",0.75,3.99,5.61,+/+,111.36,109.23,111.17,111.4,107.94,115.8,123.49,124.3,113.6,124.27,125.51,121.87,126.73,126.82,121.67,131.54,131.64,125.73,130.26,132.16,127.98,9.6,"[15.0, 3.0, 0.5, 15.0]",15.0,3.0,0.5,15.0,False,False,False,False,False,False,False,False,115.8,True,True
AMD,Advanced Micro Devices Inc. Common Stock,175306221563.0,50543396,4,False,2025-02-04,After market close,107.61,True,4.54,"[8.5, 5.0, 1.5, 3.5]","[0.245, 0.19, 0.235, 0.33]",0.71,-5.83,10.37,+/-,114.27,115.45,119.5,119.85,114.79,107.61,112.01,112.09,106.5,110.16,112.56,109.02,107.56,109.92,106.79,110.48,111.4,108.15,111.1,113.07,108.94,4.54,"[8.5, 5.0, 1.5, 3.5]",8.5,5.0,1.5,3.5,True,False,True,False,True,False,True,False,107.61,False,False
AER,AerCap Holdings N.V. Ordinary Shares,20796444272.0,1472028,5,False,2025-04-30,Before market open,108.13,True,4.99,"[5.0, 8.0, -1.0, 7.5]","[0.26, 0.18, 0.23, 0.33]",0.6,2.26,2.73,+/+,105.74,108.13,106.0,108.49,103.53,106.0,105.89,106.91,105.27,106.75,107.82,105.99,107.63,108.37,106.01,107.72,108.79,106.52,107.94,109.0,107.27,4.99,"[5.0, 8.0, -1.0, 7.5]",5.0,8.0,-1.0,7.5,False,False,False,False,False,True,False,False,108.13,True,True
AVAV,AeroVironment Inc. Common Stock,4716215063.0,478397,4,False,2025-03-04,After market close,110.07,True,6.26,"[12.0, 8.5, -1.5, 7.0]","[0.195, 0.19, 0.235, 0.38]",0.65,-22.83,29.09,+/-,142.63,140.25,141.9,143.56,135.17,110.07,135.69,138.21,110.07,135.07,136.23,131.1,132.33,134.89,128.91,123.35,130.49,121.62,124.0,126.23,121.77,6.26,"[12.0, 8.5, -1.5, 7.0]",12.0,8.5,-1.5,7.0,True,False,True,False,False,False,True,False,110.07,False,False
AFRM,Affirm Holdings Inc. Class A Common Stock,17336521797.0,19801999,4,False,2025-02-06,After market close,69.9,True,3.53,"[15.0, 7.0, -1.5, 0.0]","[0.17, 0.19, 0.235, 0.405]",0.62,11.31,-7.78,+/+,62.8,63.12,61.75,63.36,60.56,69.9,75.22,76.88,68.3,77.75,79.67,72.93,78.02,79.04,75.78,75.66,77.0,74.5,79.28,79.59,75.29,3.53,"[15.0, 7.0, -1.5, 0.0]",15.0,7.0,-1.5,0.0,False,False,False,False,False,True,False,False,69.9,True,True
A,Agilent Technologies Inc. Common Stock,32943618949.0,2873150,4,False,2025-02-26,After market close,128.78,True,3.41,"[5.0, 5.0, 0.7, 3.0]","[0.275, 0.175, 0.2125, 0.3375]",0.7,-4.02,7.43,+/-,134.18,135.0,134.47,136.47,133.65,128.78,127.08,131.32,125.81,127.92,129.51,125.96,126.33,129.0,125.64,123.06,125.75,121.45,126.51,127.3,122.29,3.41,"[5.0, 5.0, 0.7, 3.0]",5.0,5.0,0.7,3.0,True,False,True,False,True,False,True,False,128.78,False,False
AEM,Agnico Eagle Mines Limited Common Stock,53564718863.0,7488211,5,False,2025-04-24,After market close,117.01,True,8.42,"[7.5, 5.0, 1.0, 15.0]","[0.185, 0.19, 0.235, 0.39]",0.65,-1.04,9.46,+/-,118.24,119.45,119.63,119.99,117.58,117.01,118.51,119.47,116.45,119.02,119.09,116.18,116.37,118.89,116.07,117.58,117.71,115.99,112.56,115.0,111.95,8.42,"[7.5, 5.0, 1.0, 15.0]",7.5,5.0,1.0,15.0,True,False,True,False,True,False,True,False,117.01,False,False
ADC,Agree Realty Corporation Common Stock,8097365133.0,2012150,4,False,2025-02-11,After market close,71.12,True,6.46,"[5.0, 7.5, 1.5, 10.0]","[0.26, 0.18, 0.21, 0.35]",0.75,-2.32,8.78,+/-,72.81,72.55,72.6,72.94,71.81,71.12,71.4,72.23,70.72,71.83,71.87,70.53,71.0,72.44,70.93,71.07,71.37,70.43,71.33,71.72,70.74,6.46,"[5.0, 7.5, 1.5, 10.0]",5.0,7.5,1.5,10.0,True,False,True,False,True,False,True,False,71.12,False,False
AL,Air Lease Corporation Class A Common Stock,6199279218.0,961392,4,False,2025-02-13,After market close,48.0,True,3.76,"[12.5, 3.5, 1.0, 2.5]","[0.14, 0.16, 0.185, 0.505]",0.8,5.03,-1.27,+/+,45.7,45.9,46.35,46.57,45.74,48.0,49.45,49.88,46.5,50.55,50.62,49.2,51.13,51.69,50.28,50.61,51.24,49.4,47.63,51.16,47.37,3.76,"[12.5, 3.5, 1.0, 2.5]",12.5,3.5,1.0,2.5,False,False,False,False,False,False,False,False,48.0,True,True
APD,Air Products and Chemicals Inc. Common Stock,61468937349.0,1358343,4,False,2025-02-06,Before market open,329.93,True,4.21,"[8.5, 5.0, -2.0, 5.0]","[0.245, 0.19, 0.235, 0.33]",0.75,-0.97,5.18,+/-,333.15,329.93,328.13,336.64,317.97,319.9,310.44,320.06,307.52,310.55,311.29,303.92,309.49,311.75,307.55,310.35,311.42,306.51,315.16,316.12,310.25,4.21,"[8.5, 5.0, -2.0, 5.0]",8.5,5.0,-2.0,5.0,True,False,True,False,False,False,True,False,329.93,False,False
ABNB,Airbnb Inc. Class A Common Stock,84070855849.0,7198291,4,False,2025-02-13,After market close,158.18,True,3.97,"[8.0, 5.0, -2.5, 5.0]","[0.245, 0.19, 0.235, 0.33]",0.7,12.57,-8.6,+/+,140.52,139.64,141.04,141.94,138.76,158.18,161.42,163.93,156.93,160.6,162.58,158.07,157.98,160.0,155.21,155.31,157.75,152.47,146.07,154.57,145.75,3.97,"[8.0, 5.0, -2.5, 5.0]",8.0,5.0,-2.5,5.0,False,False,False,False,False,True,False,False,158.18,True,True
AKAM,Akamai Technologies Inc. Common Stock,11519600207.0,3567317,4,False,2025-02-20,After market close,89.0,True,8.74,"[10.0, 5.0, 1.0, 15.0]","[0.1625, 0.2125, 0.2375, 0.3875]",0.8,-11.23,19.97,+/-,100.26,100.34,98.03,100.66,97.22,89.0,76.73,89.89,76.5,77.65,79.7,75.5,78.05,78.79,76.6,79.58,79.94,77.64,77.87,80.08,77.82,8.74,"[10.0, 5.0, 1.0, 15.0]",10.0,5.0,1.0,15.0,True,False,True,False,True,False,True,False,89.0,False,False
AGI,Alamos Gold Inc. Class A Common Shares,10462349034.0,4820992,5,False,2025-04-30,After market close,25.32,True,4.56,"[10.0, 5.0, -1.0, 5.0]","[0.185, 0.19, 0.2275, 0.3975]",0.55,-9.99,14.55,+/-,28.13,27.89,28.52,28.55,27.89,25.32,25.73,26.0,23.84,24.72,26.36,24.66,25.7,25.71,25.09,27.24,27.29,26.13,27.14,27.2,26.42,4.56,"[10.0, 5.0, -1.0, 5.0]",10.0,5.0,-1.0,5.0,True,False,True,False,False,False,True,False,25.32,False,False
ALK,Alaska Air Group Inc. Common Stock,6498140900.0,3348708,4,False,2025-01-22,After market close,69.76,True,4.27,"[8.5, 4.0, -2.0, 6.0]","[0.25, 0.2, 0.225, 0.3]",0.65,1.28,2.99,+/+,68.88,69.9,67.4,70.21,67.05,69.76,68.85,71.7,67.82,69.95,70.22,67.45,70.46,71.63,69.15,71.41,71.58,70.0,72.2,72.89,71.63,4.27,"[8.5, 4.0, -2.0, 6.0]",8.5,4.0,-2.0,6.0,False,False,False,False,False,True,False,False,69.76,True,True
ALB,Albemarle Corporation Common Stock,7244382475.0,3994589,4,False,2025-02-12,After market close,79.9,True,4.0,"[5.0, -7.0, 0.0, 12.0]","[0.26, 0.18, 0.23, 0.33]",0.52,5.55,-1.55,+/+,75.7,75.72,76.6,77.16,74.58,79.9,79.25,83.03,74.95,81.21,82.39,79.59,83.58,84.11,79.36,83.67,84.0,81.2,82.51,84.73,81.98,4.0,"[5.0, -7.0, 0.0, 12.0]",5.0,-7.0,0.0,12.0,False,False,False,True,False,False,False,False,79.9,True,True
ACI,Albertsons Companies Inc. Class A Common Stock,12839221811.0,5872705,4,False,2025-01-08,Before market open,20.0,True,-5.99,"[-7.5, 5.5, 0.75, -15.0]","[0.29, 0.18, 0.2, 0.33]",0.3,1.42,-7.41,-/+,19.72,20.0,19.88,20.0,19.58,19.87,19.95,20.03,19.71,20.66,20.69,19.98,20.73,20.92,20.45,20.42,20.74,20.05,20.2,20.48,20.14,-5.99,"[-7.5, 5.5, 0.75, -15.0]",-7.5,5.5,0.75,-15.0,False,True,False,False,False,False,False,True,20.0,False,True
AA,Alcoa Corporation Common Stock ,7280333745.0,11556284,4,False,2025-01-22,After market close,37.6,True,5.59,"[8.0, 4.5, 1.0, 7.5]","[0.26, 0.18, 0.23, 0.33]",0.8,-2.62,8.21,+/-,38.61,39.61,38.78,39.85,38.68,37.6,37.35,37.99,36.1,37.43,37.85,36.7,34.97,36.6,34.91,34.15,35.42,34.04,35.13,35.26,34.32,5.59,"[8.0, 4.5, 1.0, 7.5]",8.0,4.5,1.0,7.5,True,False,True,False,True,False,True,False,37.6,False,False
ALC,Alcon Inc. Ordinary Shares,46884681352.0,2070724,4,False,2025-02-25,,93.31,True,6.71,"[7.5, 8.5, -0.5, 10.0]","[0.23, 0.2, 0.23, 0.34]",0.86,4.49,2.22,+/+,89.3,90.78,91.11,91.8,89.61,94.34,93.31,95.36,92.39,91.97,92.89,91.69,92.5,92.84,91.68,94.14,94.93,93.04,92.59,93.59,92.49,6.71,"[7.5, 8.5, -0.5, 10.0]",7.5,8.5,-0.5,10.0,False,False,False,False,False,True,False,False,94.34,True,True
ARE,Alexandria Real Estate Equities Inc. Common Stock,12840964117.0,2399044,4,False,2025-01-27,After market close,101.57,True,1.96,"[5.0, 5.0, -1.5, 0.0]","[0.275, 0.185, 0.225, 0.315]",0.63,-0.06,2.02,+/-,101.63,102.28,102.11,104.44,101.63,101.57,97.25,101.68,96.06,95.79,98.66,95.45,95.85,98.41,95.02,97.35,98.04,95.13,94.58,96.81,94.36,1.96,"[5.0, 5.0, -1.5, 0.0]",5.0,5.0,-1.5,0.0,True,False,True,False,False,False,False,False,101.57,False,False
AQN,Algonquin Power & Utilities Corp. Common Shares,4382153415.0,15224138,4,False,2025-03-07,Before market open,4.61,True,2.74,"[5.5, 5.0, 0.1, 0.05]","[0.32, 0.19, 0.19, 0.3]",0.83,-3.76,6.5,+/-,4.79,4.61,4.8,4.8,4.29,4.75,4.89,5.09,4.73,4.71,4.91,4.66,4.83,4.9,4.64,4.9,4.96,4.83,5.07,5.09,4.87,2.74,"[5.5, 5.0, 0.1, 0.05]",5.5,5.0,0.1,0.05,True,False,True,False,True,False,True,False,4.61,False,False
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,315709781847.0,22631735,4,False,2025-02-20,Before market open,137.81,True,7.31,"[10.0, 6.0, 1.5, 10.0]","[0.23, 0.19, 0.215, 0.355]",0.85,9.56,-2.25,+/+,125.79,137.81,135.97,144.51,131.41,141.6,143.75,145.3,141.1,129.04,135.8,128.44,134.01,134.47,130.75,139.08,141.95,138.29,136.55,140.1,135.87,7.31,"[10.0, 6.0, 1.5, 10.0]",10.0,6.0,1.5,10.0,False,False,False,False,False,False,False,False,137.81,True,True
ALGN,Align Technology Inc. Common Stock,13699634949.0,1133737,4,False,2025-02-05,After market close,227.46,True,8.8,"[7.5, 5.0, -2.0, 20.0]","[0.275, 0.18, 0.23, 0.315]",0.5,5.92,2.88,+/+,214.75,217.01,216.36,218.21,214.3,227.46,218.38,232.2,211.0,210.55,224.18,210.53,212.03,216.95,211.59,210.52,212.23,206.56,205.34,208.79,204.5,8.8,"[7.5, 5.0, -2.0, 20.0]",7.5,5.0,-2.0,20.0,False,False,False,False,False,True,False,False,227.46,True,True
ALKS,Alkermes plc Ordinary Shares,5156463182.0,1274147,4,False,2025-02-12,Before market open,32.39,True,2.97,"[10.0, 5.0, 0.5, 0.15]","[0.185, 0.19, 0.205, 0.42]",0.746,1.35,1.62,+/+,31.96,32.39,33.5,33.73,31.33,33.62,36.0,36.06,33.13,35.89,36.24,35.23,35.9,36.45,35.41,35.84,36.22,35.61,35.5,35.93,35.09,2.97,"[10.0, 5.0, 0.5, 0.15]",10.0,5.0,0.5,0.15,False,False,False,False,False,False,False,False,32.39,True,True
