symbol,company_name,market_cap,latest_volume,cycle,isPurePrediction,release_date,whenInTheDay,end_price(first_available_sell_point),did_end_price_date_calculation_succeed,prediction [%],confidence,actual_price_change [%],digression [%],signComparison(predict/actual),start_price,n_open_price,n_close_price,n_high_price,n_low_price,n+1_open_price,n+1_close_price,n+1_high_price,n+1_low_price,n+2_close_price,n+2_high_price,n+2_low_price,n+3_close_price,n+3_high_price,n+3_low_price,n+4_close_price,n+4_high_price,n+4_low_price,n+5_close_price,n+5_high_price,n+5_low_price,factor_price_change_list,prediction 0 [%],factor_price_change_list_parsed,prediction_by_factor_1,prediction_by_factor_2,prediction_by_factor_3,prediction_by_factor_4,is_false_positive_factor_1,is_false_negative_factor_1,is_false_positive_factor_2,is_false_negative_factor_2,is_false_positive_factor_3,is_false_negative_factor_3,is_false_positive_factor_4,is_false_negative_factor_4,end_price,didWin,didWin_always_buy
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,23982814257.0,11041376,4,False,2025-02-13,Before market open,10.57,True,5.74,0.75,5.566406250000003,2.51,+/+,10.24,10.57,10.81,10.9,10.51,10.92,10.88,11.06,10.74,11.03,11.14,10.92,11.36,11.37,11.23,11.18,11.24,11.05,10.94,11.25,10.87,"[10.0, 5.75, 0.5, 5.0]",5.74,"[10.0, 5.75, 0.5, 5.0]",10.0,5.75,0.5,5.0,False,False,False,False,False,False,False,False,10.81,True,True
ASGN,ASGN Incorporated Common Stock,2979964000.0,772384,4,False,2025-02-05,After market close,84.58,True,3.8,0.78,-4.90804597701149,6.58,+/-,87.0,87.83,87.88,88.15,86.45,84.58,82.73,88.13,81.64,78.77,83.64,78.69,80.21,81.54,79.32,79.47,81.62,78.43,77.36,79.01,77.23,"[5.0, 5.0, 1.5, 5.0]",3.8,"[5.0, 5.0, 1.5, 5.0]",5.0,5.0,1.5,5.0,True,False,True,False,True,False,True,False,82.73,False,False
ASML,ASML Holding N.V. New York Registry Shares,290034426938.0,1471661,4,False,2025-01-29,Before market open,727.16,True,10.3,0.85,4.287700299992676,3.89,+/+,683.35,727.16,712.65,728.46,704.6,740.1,736.99,745.59,730.58,739.31,754.6,737.77,731.06,735.45,717.92,731.41,742.69,729.28,742.59,743.21,722.4,"[16.0, 8.5, 1.0, 12.0]",10.3,"[16.0, 8.5, 1.0, 12.0]",16.0,8.5,1.0,12.0,False,False,False,False,False,False,False,False,712.65,True,True
ASTS,AST SpaceMobile Inc. Class A Common Stock,8298009684.0,9833316,3,False,2024-11-14,After market close,23.18,True,1.69,0.55,-13.12298314808175,18.58,+/-,27.89,29.0,26.8,29.79,26.37,23.18,24.23,24.28,21.51,25.8,26.99,23.77,26.14,26.27,24.1,23.58,26.11,23.22,24.14,24.93,23.21,"[8.5, -15.0, -1.0, 15.0]",1.69,"[8.5, -15.0, -1.0, 15.0]",8.5,-15.0,-1.0,15.0,True,False,False,False,False,False,True,False,24.23,False,False
T,AT&T Inc.,191083231460.0,58401806,4,False,2025-01-27,Before market open,23.5,True,2.96,0.75,6.250000000000008,-0.47,+/+,22.72,23.5,24.14,24.37,23.35,24.06,24.4,24.58,23.92,24.23,24.98,24.2,24.02,24.23,23.78,23.73,24.14,23.66,24.25,24.43,23.67,"[5.0, 3.5, 1.5, 1.5]",2.96,"[5.0, 3.5, 1.5, 1.5]",5.0,3.5,1.5,1.5,False,False,False,False,False,False,False,False,24.14,True,True
ATI,ATI Inc. Common Stock,8277549440.0,1150693,4,False,2025-02-04,Before market open,64.01,True,5.3,0.78,9.937888198757761,-5.14,+/+,57.96,64.01,63.72,66.0,61.66,64.17,65.86,65.86,62.67,63.51,66.8,62.74,62.76,64.55,62.42,63.21,64.18,62.75,61.86,63.72,61.6,"[10.0, 5.0, 1.0, 5.0]",5.3,"[10.0, 5.0, 1.0, 5.0]",10.0,5.0,1.0,5.0,False,False,False,False,False,False,False,False,63.72,True,True
ABBV,AbbVie Inc. Common Stock,356742909907.0,5880076,4,False,2025-01-31,Before market open,187.3,True,2.9,0.45,4.6968403074295475,-3.73,+/+,175.65,187.3,183.9,191.77,183.67,183.18,190.14,191.66,182.15,189.95,191.15,187.05,191.75,193.38,189.92,192.97,194.49,190.56,190.6,193.86,190.44,"[8.0, -5.0, 0.0, 5.0]",2.9,"[8.0, -5.0, 0.0, 5.0]",8.0,-5.0,0.0,5.0,False,False,False,True,False,False,False,False,183.9,True,True
ABT,Abbott Laboratories Common Stock,234012697338.0,7118001,4,False,2025-01-22,Before market open,114.13,True,6.03,0.9,0.8476753146673472,8.31,+/+,116.79,114.13,117.78,119.94,113.5,118.13,123.22,123.23,117.78,125.03,125.67,122.18,129.43,129.76,125.47,127.39,129.85,126.67,127.86,129.3,127.63,"[8.0, 3.5, 1.0, 12.0]",6.03,"[8.0, 3.5, 1.0, 12.0]",8.0,3.5,1.0,12.0,True,False,True,False,True,False,True,False,117.78,True,True
ANF,Abercrombie & Fitch Company Common Stock,5042809896.0,1907107,3,False,2024-11-26,Before market open,159.14,True,-3.94,0.55,-5.100323624595466,-6.94,-/-,154.5,159.14,146.62,160.0,142.76,151.58,148.56,153.63,146.0,149.69,151.65,146.29,157.31,163.96,150.0,154.97,159.67,152.85,161.52,161.59,151.73,"[8.0, 5.5, -5.0, -20.0]",-3.94,"[8.0, 5.5, -5.0, -20.0]",8.0,5.5,-5.0,-20.0,False,False,False,False,False,True,False,True,146.62,True,False
ACN,Accenture plc Class A Ordinary Shares (Ireland),227949424324.0,3747856,3,False,2024-12-19,Before market open,365.0,True,1.8,0.3,7.062512585944021,-3.2,+/+,347.61,365.0,372.16,376.91,363.19,370.7,366.37,372.07,362.0,358.77,362.96,355.73,361.63,361.95,358.54,360.43,361.95,359.07,356.18,360.43,354.0,"[5.0, -3.5, -2.5, 5.0]",1.8,"[5.0, -3.5, -2.5, 5.0]",5.0,-3.5,-2.5,5.0,False,False,False,True,False,True,False,False,372.16,True,True
AYI,Acuity Brands Inc. ,9574162907.0,261838,4,False,2025-01-08,Before market open,303.84,True,5.5,0.74,3.216884528003701,5.46,+/+,303.71,303.84,313.48,313.57,297.36,310.35,305.1,312.04,302.8,306.2,306.28,300.93,321.81,325.59,312.35,326.02,328.11,322.62,330.58,331.93,325.02,"[8.0, 5.0, 3.0, 5.0]",5.5,"[8.0, 5.0, 3.0, 5.0]",8.0,5.0,3.0,5.0,False,False,False,False,False,False,False,False,313.48,True,True
ADBE,Adobe Inc. Common Stock,193412496000.0,3371793,3,False,2024-12-11,After market close,487.5,True,2.06,0.6,-13.238278036742521,12.95,+/-,547.05,547.05,549.93,552.3,541.74,487.5,474.63,494.0,470.9,465.69,474.91,456.8,461.53,473.62,461.2,455.23,465.86,452.48,441.31,455.25,441.1,"[8.5, 5.0, -3.0, -2.0]",2.06,"[8.5, 5.0, -3.0, -2.0]",8.5,5.0,-3.0,-2.0,True,False,True,False,False,False,False,False,474.63,False,False
AAP,Advance Auto Parts Inc.,2594867245.0,2498998,3,False,2024-11-14,Before market open,43.25,True,5.75,0.5,0.6139489194499018,-0.48,+/+,40.72,43.25,40.97,45.2,40.86,40.05,37.48,40.89,37.2,39.87,39.97,37.34,38.29,39.4,37.9,38.42,39.33,37.75,38.48,38.77,37.98,"[10.0, 8.0, 1.5, 5.0]",5.75,"[10.0, 8.0, 1.5, 5.0]",10.0,8.0,1.5,5.0,False,False,False,False,False,False,False,False,40.97,True,True
WMS,Advanced Drainage Systems Inc. Common Stock,8874541218.0,541355,4,False,2025-02-06,Before market open,122.12,True,-1.3,0.5,1.439531074907337,-6.56,-/+,116.01,122.12,117.68,122.12,112.21,118.58,120.43,122.43,117.8,125.13,125.99,120.68,126.99,130.29,123.3,124.75,125.2,122.2,126.08,126.26,124.14,"[-5.0, 3.5, 1.0, -3.65]",-1.3,"[-5.0, 3.5, 1.0, -3.65]",-5.0,3.5,1.0,-3.65,False,True,False,False,False,False,False,True,117.68,False,True
AMD,Advanced Micro Devices Inc. Common Stock,179613777308.0,41208575,4,False,2025-02-04,After market close,107.61,True,4.13,0.7,-1.977771943642243,9.96,+/-,114.27,115.45,119.5,119.85,114.79,107.61,112.01,112.09,106.5,110.16,112.56,109.02,107.56,109.92,106.79,110.48,111.4,108.15,111.1,113.07,108.94,"[10.0, 5.0, 1.0, 0.15]",4.13,"[10.0, 5.0, 1.0, 0.15]",10.0,5.0,1.0,0.15,True,False,True,False,True,False,True,False,112.01,False,False
AER,AerCap Holdings N.V. Ordinary Shares,20587480391.0,1998039,3,False,2024-10-30,Before market open,88.88,True,7.27,0.83,-1.9168325128312542,14.18,+/-,95.47,88.88,93.64,96.45,88.88,93.44,93.3,95.12,92.73,94.06,95.28,93.77,93.69,95.59,93.65,95.41,95.92,93.13,98.74,98.76,95.52,"[10.25, 4.5, 1.5, 10.0]",7.27,"[10.25, 4.5, 1.5, 10.0]",10.25,4.5,1.5,10.0,True,False,True,False,True,False,True,False,93.64,False,False
AVAV,AeroVironment Inc. Common Stock,4365753813.0,331418,3,False,2024-12-04,After market close,175.0,True,7.4,0.68,-14.230968410150178,16.77,+/-,193.1,194.03,196.89,199.2,192.29,175.0,165.62,180.83,162.27,163.33,167.3,161.0,160.42,164.88,159.73,153.72,160.24,153.0,154.35,155.97,150.5,"[10.0, 5.0, 2.0, 10.0]",7.4,"[10.0, 5.0, 2.0, 10.0]",10.0,5.0,2.0,10.0,True,False,True,False,True,False,True,False,165.62,False,False
AFRM,Affirm Holdings Inc. Class A Common Stock,21802769648.0,6628516,4,False,2025-02-06,After market close,69.9,True,6.5,0.65,19.77707006369427,-4.81,+/+,62.8,63.12,61.75,63.36,60.56,69.9,75.22,76.88,68.3,77.75,79.67,72.93,78.02,79.04,75.78,75.66,77.0,74.5,79.28,79.59,75.29,"[15.0, 5.0, 1.0, 5.0]",6.5,"[15.0, 5.0, 1.0, 5.0]",15.0,5.0,1.0,5.0,False,False,False,False,False,False,False,False,75.22,True,True
A,Agilent Technologies Inc. Common Stock,38661036032.0,1112236,3,False,2024-11-25,After market close,126.79,True,-1.53,0.332,0.39673628265588823,3.57,-/+,133.59,134.28,134.24,135.36,133.51,126.79,134.12,134.56,125.94,137.89,138.74,133.99,137.72,138.84,136.83,139.32,139.76,136.85,139.02,139.34,136.45,"[-5.0, -3.5, 5.0, -1.5]",-1.53,"[-5.0, -3.5, 5.0, -1.5]",-5.0,-3.5,5.0,-1.5,False,False,False,False,True,False,False,False,134.12,False,True
AEM,Agnico Eagle Mines Limited Common Stock,48233307002.0,2378944,4,False,2025-02-13,After market close,99.02,True,5.15,0.75,-3.7167252636865924,5.68,+/-,99.55,99.71,100.81,100.87,98.93,99.02,95.85,99.51,95.53,97.32,97.93,95.08,98.05,98.83,96.3,98.04,99.38,97.5,96.1,97.56,95.96,"[10.0, 5.0, 2.0, 5.0]",5.15,"[10.0, 5.0, 2.0, 5.0]",10.0,5.0,2.0,5.0,True,False,True,False,True,False,True,False,95.85,False,False
ADC,Agree Realty Corporation Common Stock,7810923185.0,1293174,4,False,2025-02-11,After market close,71.12,True,4.0,0.7,-1.9365471775854917,6.32,+/-,72.81,72.55,72.6,72.94,71.81,71.12,71.4,72.23,70.72,71.83,71.87,70.53,71.0,72.44,70.93,71.07,71.37,70.43,71.33,71.72,70.74,"[5.0, 3.5, 1.5, 5.0]",4.0,"[5.0, 3.5, 1.5, 5.0]",5.0,3.5,1.5,5.0,True,False,True,False,True,False,True,False,71.4,False,False
APD,Air Products and Chemicals Inc. Common Stock,68942984137.0,1392859,4,False,2025-02-06,Before market open,329.93,True,-2.25,0.45,-1.5068287558156934,-1.28,-/-,333.15,329.93,328.13,336.64,317.97,319.9,310.44,320.06,307.52,310.55,311.29,303.92,309.49,311.75,307.55,310.35,311.42,306.51,315.16,316.12,310.25,"[-4.0, 5.0, -5.0, -5.0]",-2.25,"[-4.0, 5.0, -5.0, -5.0]",-4.0,5.0,-5.0,-5.0,False,False,True,False,False,False,False,False,328.13,True,False
ABNB,Airbnb Inc. Class A Common Stock,92102919226.0,7354581,4,False,2025-02-13,After market close,158.18,True,1.51,0.5,14.873327640193548,-11.06,+/+,140.52,139.64,141.04,141.94,138.76,158.18,161.42,163.93,156.93,160.6,162.58,158.07,157.98,160.0,155.21,155.31,157.75,152.47,146.07,154.57,145.75,"[8.5, 4.5, -3.0, -5.0]",1.51,"[8.5, 4.5, -3.0, -5.0]",8.5,4.5,-3.0,-5.0,False,False,False,False,False,True,False,True,161.42,True,True
AKAM,Akamai Technologies Inc. Common Stock,11526916636.0,20722989,4,False,2025-02-20,After market close,89.0,True,-2.65,0.55,-23.468980650309195,8.58,-/-,100.26,100.34,98.03,100.66,97.22,89.0,76.73,89.89,76.5,,,,,,,,,,,,,"[5.0, 7.5, 1.0, -21.73]",-2.65,"[5.0, 7.5, 1.0, -21.73]",5.0,7.5,1.0,-21.73,True,False,True,False,True,False,False,False,76.73,True,False
AGI,Alamos Gold Inc. Class A Common Shares,9523393683.0,3118272,4,False,2025-02-19,After market close,22.86,True,6.9,0.75,2.511013215859032,6.2,+/+,22.7,22.57,22.68,22.8,22.44,22.86,23.27,24.27,22.82,22.69,23.17,22.63,,,,,,,,,,"[5.0, 8.5, -1.5, 10.0]",6.9,"[5.0, 8.5, -1.5, 10.0]",5.0,8.5,-1.5,10.0,False,False,False,False,False,True,False,False,23.27,True,True
ALK,Alaska Air Group Inc. Common Stock,8637625830.0,3760350,4,False,2025-01-22,After market close,69.76,True,2.67,0.67,-0.04355400696864277,1.39,+/-,68.88,69.9,67.4,70.21,67.05,69.76,68.85,71.7,67.82,69.95,70.22,67.45,70.46,71.63,69.15,71.41,71.58,70.0,72.2,72.89,71.63,"[10.0, 5.0, 1.0, -5.0]",2.67,"[10.0, 5.0, 1.0, -5.0]",10.0,5.0,1.0,-5.0,False,False,False,False,False,False,False,True,68.85,False,False
ALB,Albemarle Corporation Common Stock,9546965033.0,1677819,4,False,2025-02-12,After market close,79.9,True,8.8,0.8,4.689564068692202,3.25,+/+,75.7,75.72,76.6,77.16,74.58,79.9,79.25,83.03,74.95,81.21,82.39,79.59,83.58,84.11,79.36,83.67,84.0,81.2,82.51,84.73,81.98,"[15.0, 8.5, 3.0, 5.0]",8.8,"[15.0, 8.5, 3.0, 5.0]",15.0,8.5,3.0,5.0,False,False,False,False,False,False,False,False,79.25,True,True
ACI,Albertsons Companies Inc. Class A Common Stock,11906245170.0,7541332,4,False,2025-01-08,Before market open,19.85,True,7.99,0.72,0.817577925396015,6.57,+/+,19.57,19.85,19.73,19.85,19.43,19.72,19.8,19.88,19.56,20.5,20.53,19.83,20.57,20.76,20.29,20.27,20.58,19.9,20.05,20.32,19.99,"[15.0, 5.2, -1.5, 5.0]",7.99,"[15.0, 5.2, -1.5, 5.0]",15.0,5.2,-1.5,5.0,False,False,False,False,False,True,False,False,19.73,True,True
AA,Alcoa Corporation Common Stock ,8887406083.0,7214431,4,False,2025-01-22,After market close,37.6,True,4.8,0.65,-3.2634032634032586,7.42,+/-,38.61,39.61,38.78,39.85,38.68,37.6,37.35,37.99,36.1,37.43,37.85,36.7,34.97,36.6,34.91,34.15,35.42,34.04,35.13,35.26,34.32,"[15.0, 5.0, 2.0, -5.0]",4.8,"[15.0, 5.0, 2.0, -5.0]",15.0,5.0,2.0,-5.0,True,False,True,False,True,False,False,False,37.35,False,False
ARE,Alexandria Real Estate Equities Inc. Common Stock,16542379694.0,1101349,4,False,2025-01-27,After market close,101.57,True,1.56,0.65,-4.309751057758532,1.62,+/-,101.63,102.28,102.11,104.44,101.63,101.57,97.25,101.68,96.06,95.79,98.66,95.45,95.85,98.41,95.02,97.35,98.04,95.13,94.58,96.81,94.36,"[6.0, -5.0, 2.0, 6.0]",1.56,"[6.0, -5.0, 2.0, 6.0]",6.0,-5.0,2.0,6.0,True,False,False,False,True,False,True,False,97.25,False,False
AQN,Algonquin Power & Utilities Corp. Common Shares,3804270400.0,10098006,3,False,2024-11-07,Before market open,4.67,True,-1.99,0.6,0.21141649048625338,-0.74,-/+,4.73,4.67,4.74,4.95,4.66,4.71,4.73,4.78,4.67,4.85,4.92,4.71,4.69,4.83,4.68,4.66,4.76,4.65,4.74,4.79,4.66,"[-15.0, 7.5, 0.05, 5.0]",-1.99,"[-15.0, 7.5, 0.05, 5.0]",-15.0,7.5,0.05,5.0,False,False,True,False,True,False,True,False,4.74,False,True
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,342386127050.0,73690112,4,False,2025-02-20,Before market open,137.81,True,5.21,0.775,8.09285316797837,-4.35,+/+,125.79,137.81,135.97,144.51,131.41,141.6,143.75,145.3,141.1,,,,,,,,,,,,,"[12.0, 5.6, -1.5, 5.0]",5.21,"[12.0, 5.6, -1.5, 5.0]",12.0,5.6,-1.5,5.0,False,False,False,False,False,True,False,False,135.97,True,True
ALGN,Align Technology Inc. Common Stock,14216182216.0,1695115,4,False,2025-02-05,After market close,227.46,True,0.9,0.601,1.6903376018626288,-5.02,+/+,214.75,217.01,216.36,218.21,214.3,227.46,218.38,232.2,211.0,210.55,224.18,210.53,212.03,216.95,211.59,210.52,212.23,206.56,205.34,208.79,204.5,"[5.0, 6.5, -1.5, -5.0]",0.9,"[5.0, 6.5, -1.5, -5.0]",5.0,6.5,-1.5,-5.0,False,False,False,False,False,True,False,True,218.38,True,True
ALLE,Allegion plc Ordinary Shares,10972681033.0,871149,4,False,2025-02-18,Before market open,130.94,True,4.5,0.8,-5.622610390583992,6.33,+/-,133.39,130.94,125.89,133.16,125.62,125.89,126.58,127.28,124.19,127.11,127.46,125.6,127.16,127.92,126.0,,,,,,,"[10.0, 5.0, 1.5, 0.5]",4.5,"[10.0, 5.0, 1.5, 0.5]",10.0,5.0,1.5,0.5,True,False,True,False,True,False,True,False,125.89,False,False
LNT,Alliant Energy Corporation Common Stock,16116995878.0,3902912,4,False,2025-02-20,After market close,61.49,True,-0.15,0.5,1.8981181051265439,0.09,-/+,61.64,61.88,61.62,61.9,61.12,61.49,62.81,63.3,61.32,,,,,,,,,,,,,"[-2.5, 5.0, -2.0, -0.5]",-0.15,"[-2.5, 5.0, -2.0, -0.5]",-2.5,5.0,-2.0,-0.5,False,False,True,False,False,False,False,False,62.81,False,True
ALSN,Allison Transmission Holdings Inc. Common Stock,8609127060.0,667829,4,False,2025-02-11,After market close,97.7,True,-3.17,0.55,-12.423339758191702,11.23,-/-,114.14,113.38,114.19,115.4,113.21,97.7,99.96,104.48,94.26,101.6,102.09,98.24,104.55,105.44,101.19,103.74,105.57,102.4,103.78,104.8,103.0,"[-5.0, 5.0, 0.0, -8.9]",-3.17,"[-5.0, 5.0, 0.0, -8.9]",-5.0,5.0,0.0,-8.9,False,False,True,False,False,False,False,False,99.96,True,False
ALL,Allstate Corporation (The) Common Stock,49163410198.0,1427955,4,False,2025-02-05,After market close,195.0,True,5.3,0.758,0.5291559700319541,3.14,+/+,190.87,193.33,193.01,193.33,190.92,195.0,191.88,199.04,189.91,190.24,192.76,188.03,186.58,190.15,185.53,189.43,190.86,184.74,189.33,189.46,186.03,"[8.5, 5.0, 1.0, 5.0]",5.3,"[8.5, 5.0, 1.0, 5.0]",8.5,5.0,1.0,5.0,False,False,False,False,False,False,False,False,191.88,True,True
ALLY,Ally Financial Inc. Common Stock,11513669857.0,2622865,4,False,2025-01-22,Before market open,41.07,True,6.16,0.75,3.8532594352071805,-2.22,+/+,37.89,41.07,39.35,41.18,38.84,38.53,39.79,40.02,38.15,38.72,39.73,38.54,38.93,39.23,38.46,38.77,39.7,38.31,38.62,39.29,38.37,"[7.5, 5.0, 1.5, 8.6]",6.16,"[7.5, 5.0, 1.5, 8.6]",7.5,5.0,1.5,8.6,False,False,False,False,False,False,False,False,39.35,True,True
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,32440668722.0,653600,4,False,2025-02-13,Before market open,258.6,True,-1.1,0.55,-0.4023161377650749,1.67,-/-,265.96,258.6,264.89,268.52,256.65,264.02,256.45,264.87,251.87,250.0,260.0,249.16,250.51,254.01,246.61,251.0,252.99,247.0,250.59,253.7,246.85,"[5.0, 3.5, 1.0, -15.0]",-1.1,"[5.0, 3.5, 1.0, -15.0]",5.0,3.5,1.0,-15.0,True,False,True,False,True,False,False,False,264.89,True,False
GOOGL,Alphabet Inc. Class A Common Stock,2190055400000.0,35109124,4,False,2025-02-04,After market close,191.07,True,0.85,0.56,-4.91974357700143,5.9,+/-,201.23,203.39,206.38,207.05,202.81,191.07,191.33,192.75,188.03,191.6,192.1,188.72,185.34,191.18,183.24,186.47,188.2,185.86,185.32,186.94,184.28,"[1.5, 5.0, 3.0, -5.0]",0.85,"[1.5, 5.0, 3.0, -5.0]",1.5,5.0,3.0,-5.0,True,False,True,False,True,False,False,False,191.33,False,False
GOOG,Alphabet Inc. Class C Capital Stock,2213460200000.0,19450173,4,False,2025-02-04,After market close,193.1,True,2.19,0.75,-4.609159099881551,6.9,+/-,202.64,204.5,207.71,208.7,204.26,193.1,193.3,194.55,189.91,193.31,193.83,190.49,187.14,193.01,185.1,188.2,189.99,187.61,187.07,188.8,186.08,"[2.5, 8.5, -1.0, 0.0]",2.19,"[2.5, 8.5, -1.0, 0.0]",2.5,8.5,-1.0,0.0,True,False,True,False,False,False,False,False,193.3,False,False
ALTR,Altair Engineering Inc. Class A Common Stock,9510375530.0,844441,4,False,2025-02-20,After market close,111.73,True,4.92,0.85,0.4764044943820235,4.49,+/+,111.25,111.07,111.78,111.78,110.95,111.73,111.78,112.2,111.47,,,,,,,,,,,,,"[10.0, 5.8, 1.0, 0.23]",4.92,"[10.0, 5.8, 1.0, 0.23]",10.0,5.8,1.0,0.23,False,False,False,False,False,False,False,False,111.78,True,True
