symbol,company_name,market_cap,latest_volume,cycle,isPurePrediction,release_date,whenInTheDay,end_price(first_available_sell_point),did_end_price_date_calculation_succeed,prediction [%],factor_price_change_list,weight_distribution_list,confidence,actual_price_change [%],digression [%],signComparison(predict/actual),start_price,n_open_price,n_close_price,n_high_price,n_low_price,n+1_open_price,n+1_close_price,n+1_high_price,n+1_low_price,n+2_close_price,n+2_high_price,n+2_low_price,n+3_close_price,n+3_high_price,n+3_low_price,n+4_close_price,n+4_high_price,n+4_low_price,n+5_close_price,n+5_high_price,n+5_low_price,prediction 0 [%],factor_price_change_list_parsed,prediction_by_factor_1,prediction_by_factor_2,prediction_by_factor_3,prediction_by_factor_4,prediction_by_factor_5,is_false_positive_factor_1,is_false_negative_factor_1,is_false_positive_factor_2,is_false_negative_factor_2,is_false_positive_factor_3,is_false_negative_factor_3,is_false_positive_factor_4,is_false_negative_factor_4,is_false_positive_factor_5,is_false_negative_factor_5,end_price,didWin,didWin_always_buy
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,19211712090.0,5331172,0,False,2025-02-13,Before market open,10.57,True,1.17,"[6.0, 2.0, -1.0, 2.5, -1.5]","[0.221, 0.09, 0.283, 0.138, 0.267]",0.65,3.22,-2.05,+/+,10.24,10.57,10.81,10.9,10.51,10.92,10.88,11.06,10.74,11.03,11.14,10.92,11.36,11.37,11.23,11.18,11.24,11.05,10.94,11.25,10.87,1.17,"[6.0, 2.0, -1.0, 2.5, -1.5]",6.0,2.0,-1.0,2.5,-1.5,False,False,False,False,False,True,False,False,False,True,10.57,True,True
ASGN,ASGN Incorporated Common Stock,2196568000.0,744286,0,False,2025-02-05,After market close,84.58,True,0.72,"[-3.0, 3.0, 4.0, 2.0, -1.0]","[0.219, 0.09, 0.276, 0.138, 0.276]",0.4,-2.78,3.5,+/-,87.0,87.83,87.88,88.15,86.45,84.58,82.73,88.13,81.64,78.77,83.64,78.69,80.21,81.54,79.32,79.47,81.62,78.43,77.36,79.01,77.23,0.72,"[-3.0, 3.0, 4.0, 2.0, -1.0]",-3.0,3.0,4.0,2.0,-1.0,False,False,True,False,True,False,True,False,False,False,84.58,False,False
ASML,ASML Holding N.V. New York Registry Shares,262210121798.0,1066308,1,False,2025-04-16,Before market open,645.17,True,-0.58,"[4.5, 2.5, 0.0, -5.0, -4.0]","[0.219, 0.09, 0.279, 0.138, 0.274]",0.45,-5.29,4.71,-/-,681.22,645.17,633.13,651.28,622.4,642.53,638.35,645.82,635.13,622.92,631.86,612.32,636.88,643.78,629.21,656.12,664.6,652.93,673.09,676.4,660.68,-0.58,"[4.5, 2.5, 0.0, -5.0, -4.0]",4.5,2.5,0.0,-5.0,-4.0,True,False,True,False,False,False,False,False,False,False,645.17,True,False
ASTS,AST SpaceMobile Inc. Class A Common Stock,7285641765.0,4439614,0,False,2025-03-03,After market close,24.52,True,-1.62,"[5.0, -2.5, 4.0, -7.0, -5.0]","[0.123, 0.193, 0.226, 0.184, 0.273]",0.48,-9.55,7.93,-/-,27.11,29.08,25.62,29.1,24.89,24.52,28.61,30.7,24.48,33.8,34.1,28.95,32.18,35.49,30.82,33.4,34.06,29.55,29.14,32.8,28.34,-1.62,"[5.0, -2.5, 4.0, -7.0, -5.0]",5.0,-2.5,4.0,-7.0,-5.0,True,False,False,False,True,False,False,False,False,False,24.52,True,False
T,AT&T Inc.,198886444200.0,37367601,0,False,2025-01-27,Before market open,23.25,True,0.9,"[3.5, 0.5, 1.0, 0.0, -1.5]","[0.245, 0.13, 0.29, 0.13, 0.205]",0.65,3.43,-2.53,+/+,22.48,23.25,23.89,24.11,23.1,23.81,24.14,24.32,23.67,23.98,24.72,23.95,23.77,23.98,23.53,23.48,23.89,23.41,24.0,24.17,23.42,0.9,"[3.5, 0.5, 1.0, 0.0, -1.5]",3.5,0.5,1.0,0.0,-1.5,False,False,False,False,False,False,False,False,False,True,23.25,True,True
ATI,ATI Inc. Common Stock,8848469785.0,5171928,0,False,2025-02-04,Before market open,64.01,True,0.83,"[2.5, 3.0, 4.0, -5.0, -1.5]","[0.231, 0.081, 0.271, 0.129, 0.288]",0.5,10.44,-9.61,+/+,57.96,64.01,63.72,66.0,61.66,64.17,65.86,65.86,62.67,63.51,66.8,62.74,62.76,64.55,62.42,63.21,64.18,62.75,61.86,63.72,61.6,0.83,"[2.5, 3.0, 4.0, -5.0, -1.5]",2.5,3.0,4.0,-5.0,-1.5,False,False,False,False,False,False,False,True,False,True,64.01,True,True
ABBV,AbbVie Inc. Common Stock,328461925066.0,10482067,0,False,2025-01-31,Before market open,185.58,True,1.46,"[3.5, 1.5, 0.0, 1.0, 1.5]","[0.235, 0.135, 0.292, 0.135, 0.202]",0.65,6.63,-5.17,+/+,174.04,185.58,182.22,190.01,181.99,181.5,188.4,189.9,180.48,188.21,189.4,185.34,189.99,191.61,188.18,191.2,192.71,188.82,188.85,192.08,188.7,1.46,"[3.5, 1.5, 0.0, 1.0, 1.5]",3.5,1.5,0.0,1.0,1.5,False,False,False,False,False,False,False,False,False,False,185.58,True,True
ABT,Abbott Laboratories Common Stock,223467571507.0,4849389,0,False,2025-01-22,Before market open,113.6,True,1.24,"[4.0, 2.5, 1.5, 1.0, -1.5]","[0.219, 0.09, 0.276, 0.138, 0.276]",0.62,-2.28,3.52,+/-,116.25,113.6,117.24,119.39,112.98,117.59,122.65,122.66,117.24,124.45,125.09,121.62,128.83,129.16,124.89,126.8,129.25,126.09,127.27,128.7,127.04,1.24,"[4.0, 2.5, 1.5, 1.0, -1.5]",4.0,2.5,1.5,1.0,-1.5,True,False,True,False,True,False,True,False,False,False,113.6,False,False
ANF,Abercrombie & Fitch Company Common Stock,3392489937.0,1881258,0,False,2025-03-05,Before market open,84.14,True,0.95,"[6.0, -4.0, 4.0, -3.0, -2.5]","[0.219, 0.09, 0.276, 0.138, 0.276]",0.55,-12.45,13.4,+/-,96.11,84.14,87.23,87.71,79.77,85.9,83.58,88.03,82.98,86.03,87.38,81.59,78.17,84.35,77.19,78.69,79.37,75.62,76.52,80.12,75.02,0.95,"[6.0, -4.0, 4.0, -3.0, -2.5]",6.0,-4.0,4.0,-3.0,-2.5,True,False,False,False,True,False,False,False,False,False,84.14,False,False
ACN,Accenture plc Class A Ordinary Shares (Ireland),203962579724.0,2848558,2,False,2024-12-19,Before market open,361.66,True,1.74,"[3.0, -1.0, 0.0, 1.0, 3.5]","[0.229, 0.081, 0.276, 0.129, 0.286]",0.55,5.0,-3.26,+/+,344.43,361.66,368.76,373.46,359.87,367.31,363.02,368.67,358.69,355.49,359.64,352.48,358.32,358.64,355.26,357.13,358.64,355.79,352.92,357.13,350.76,1.74,"[3.0, -1.0, 0.0, 1.0, 3.5]",3.0,-1.0,0.0,1.0,3.5,False,False,False,True,False,False,False,False,False,False,361.66,True,True
AYI,Acuity Inc. Common Stock,7474670723.0,402589,0,False,2025-01-08,Before market open,303.62,True,0.36,"[4.5, -1.5, 0.0, 1.0, -2.5]","[0.233, 0.081, 0.279, 0.129, 0.279]",0.35,0.04,0.32,+/+,303.49,303.62,313.25,313.34,297.14,310.12,304.88,311.81,302.57,305.98,306.06,300.7,321.57,325.35,312.12,325.78,327.87,322.38,330.33,331.68,324.78,0.36,"[4.5, -1.5, 0.0, 1.0, -2.5]",4.5,-1.5,0.0,1.0,-2.5,False,False,False,True,False,False,False,False,False,True,303.62,True,True
ADBE,Adobe Inc. Common Stock,157253292000.0,3163425,0,False,2025-03-12,After market close,405.27,True,1.6,"[4.5, 1.5, 2.0, 2.5, -1.5]","[0.205, 0.1, 0.281, 0.148, 0.267]",0.7,-6.55,8.15,+/-,433.66,436.69,438.6,443.9,435.5,405.27,377.84,405.77,374.5,394.74,396.36,377.8,399.34,399.94,387.13,391.37,395.95,384.57,387.89,395.26,387.0,1.6,"[4.5, 1.5, 2.0, 2.5, -1.5]",4.5,1.5,2.0,2.5,-1.5,True,False,True,False,True,False,True,False,False,False,405.27,False,False
AAP,Advance Auto Parts Inc.,1965992064.0,1289481,0,False,2025-02-26,Before market open,43.16,True,-2.45,"[-7.5, 1.7, -1.5, 1.0, -2.5]","[0.217, 0.09, 0.271, 0.138, 0.283]",0.52,-5.19,2.74,-/-,45.52,43.16,37.41,43.67,36.76,37.47,36.67,38.39,36.15,36.61,37.78,35.89,35.13,36.93,34.75,34.31,35.53,34.3,34.08,34.91,33.68,-2.45,"[-7.5, 1.7, -1.5, 1.0, -2.5]",-7.5,1.7,-1.5,1.0,-2.5,False,False,True,False,False,False,True,False,False,False,43.16,True,False
WMS,Advanced Drainage Systems Inc. Common Stock,8803948277.0,551833,0,False,2025-02-06,Before market open,121.95,True,-1.56,"[-3.0, -1.8, 0.0, -3.0, -1.2]","[0.219, 0.09, 0.276, 0.138, 0.276]",0.3,5.27,-6.83,-/+,115.84,121.95,117.51,121.95,112.05,118.41,120.26,122.25,117.63,124.95,125.8,120.51,126.81,130.1,123.12,124.57,125.02,122.03,125.9,126.08,123.96,-1.56,"[-3.0, -1.8, 0.0, -3.0, -1.2]",-3.0,-1.8,0.0,-3.0,-1.2,False,True,False,True,False,False,False,True,False,True,121.95,False,True
AEIS,Advanced Energy Industries Inc. Common Stock,3667678071.0,555183,0,False,2025-02-12,After market close,115.71,True,0.86,"[4.0, -1.5, 2.0, 1.0, -2.5]","[0.185, 0.16, 0.32, 0.16, 0.175]",0.55,3.99,-3.13,+/+,111.27,109.14,111.08,111.31,107.85,115.71,123.39,124.2,113.51,124.17,125.41,121.77,126.63,126.72,121.57,131.44,131.54,125.63,130.16,132.06,127.88,0.86,"[4.0, -1.5, 2.0, 1.0, -2.5]",4.0,-1.5,2.0,1.0,-2.5,False,False,False,True,False,False,False,False,False,True,115.71,True,True
AMD,Advanced Micro Devices Inc. Common Stock,157753529601.0,29730729,0,False,2025-02-04,After market close,107.61,True,1.62,"[5.0, -2.0, 4.0, 1.0, -1.5]","[0.19, 0.11, 0.281, 0.157, 0.262]",0.65,-5.83,7.45,+/-,114.27,115.45,119.5,119.85,114.79,107.61,112.01,112.09,106.5,110.16,112.56,109.02,107.56,109.92,106.79,110.48,111.4,108.15,111.1,113.07,108.94,1.62,"[5.0, -2.0, 4.0, 1.0, -1.5]",5.0,-2.0,4.0,1.0,-1.5,True,False,False,False,True,False,True,False,False,False,107.61,False,False
AER,AerCap Holdings N.V. Ordinary Shares,19778475695.0,1850661,0,False,2025-02-26,Before market open,104.71,True,0.15,"[-3.5, 1.8, 5.0, -1.0, -2.0]","[0.2, 0.105, 0.271, 0.152, 0.271]",0.5,3.45,-3.3,+/+,101.22,104.71,102.06,104.97,99.77,101.67,102.26,103.58,101.19,102.81,102.98,100.14,100.72,104.44,100.33,98.21,99.7,96.76,101.7,102.27,99.02,0.15,"[-3.5, 1.8, 5.0, -1.0, -2.0]",-3.5,1.8,5.0,-1.0,-2.0,False,True,False,False,False,False,False,True,False,True,104.71,True,True
AVAV,AeroVironment Inc. Common Stock,4379846467.0,386395,0,False,2025-03-04,After market close,110.07,True,0.26,"[8.0, -3.5, -2.0, 4.0, -3.0]","[0.171, 0.129, 0.271, 0.167, 0.262]",0.45,-22.83,23.09,+/-,142.63,140.25,141.9,143.56,135.17,110.07,135.69,138.21,110.07,135.07,136.23,131.1,132.33,134.89,128.91,123.35,130.49,121.62,124.0,126.23,121.77,0.26,"[8.0, -3.5, -2.0, 4.0, -3.0]",8.0,-3.5,-2.0,4.0,-3.0,True,False,False,False,False,False,True,False,False,False,110.07,False,False
AFRM,Affirm Holdings Inc. Class A Common Stock,15638835647.0,4703174,0,False,2025-02-06,After market close,69.9,True,-2.51,"[-7.0, -3.5, 3.0, -4.5, -3.5]","[0.169, 0.129, 0.269, 0.167, 0.267]",0.55,11.31,-13.82,-/+,62.8,63.12,61.75,63.36,60.56,69.9,75.22,76.88,68.3,77.75,79.67,72.93,78.02,79.04,75.78,75.66,77.0,74.5,79.28,79.59,75.29,-2.51,"[-7.0, -3.5, 3.0, -4.5, -3.5]",-7.0,-3.5,3.0,-4.5,-3.5,False,True,False,True,False,False,False,True,False,True,69.9,False,True
A,Agilent Technologies Inc. Common Stock,30300716763.0,1120576,0,False,2025-02-26,After market close,128.51,True,0.41,"[3.5, -2.0, 0.0, 1.5, -1.5]","[0.233, 0.076, 0.271, 0.124, 0.295]",0.65,-4.02,4.43,+/-,133.9,134.71,134.18,136.18,133.37,128.51,126.81,131.04,125.54,127.65,129.24,125.69,126.06,128.73,125.37,122.8,125.48,121.19,126.24,127.03,122.03,0.41,"[3.5, -2.0, 0.0, 1.5, -1.5]",3.5,-2.0,0.0,1.5,-1.5,True,False,False,False,False,False,True,False,False,False,128.51,False,False
AEM,Agnico Eagle Mines Limited Common Stock,56633897757.0,4752105,0,False,2025-02-13,After market close,98.6,True,1.62,"[5.0, 3.5, 4.0, -3.0, -1.5]","[0.205, 0.1, 0.274, 0.148, 0.274]",0.55,-0.53,2.15,+/-,99.13,99.29,100.39,100.45,98.51,98.6,95.45,99.09,95.13,96.91,97.52,94.68,97.64,98.41,95.89,97.63,98.96,97.09,95.7,97.15,95.56,1.62,"[5.0, 3.5, 4.0, -3.0, -1.5]",5.0,3.5,4.0,-3.0,-1.5,True,False,True,False,True,False,False,False,False,False,98.6,False,False
ADC,Agree Realty Corporation Common Stock,8408717624.0,1471925,0,False,2025-02-11,After market close,70.64,True,2.36,"[3.0, 0.0, 3.0, 2.0, 2.0]","[0.238, 0.076, 0.276, 0.124, 0.286]",0.65,-2.32,4.68,+/-,72.32,72.06,72.11,72.45,71.33,70.64,70.92,71.74,70.24,71.35,71.39,70.06,70.52,71.95,70.45,70.59,70.89,69.96,70.85,71.24,70.26,2.36,"[3.0, 0.0, 3.0, 2.0, 2.0]",3.0,0.0,3.0,2.0,2.0,True,False,False,False,True,False,True,False,True,False,70.64,False,False
AL,Air Lease Corporation Class A Common Stock,5229144704.0,1015083,1,False,2024-11-07,After market close,45.51,True,3.28,"[5.0, 3.5, 4.0, 3.5, 1.0]","[0.186, 0.114, 0.281, 0.162, 0.257]",0.74,-2.92,6.2,+/-,46.88,46.8,46.89,47.67,46.46,45.51,46.66,47.26,44.11,47.92,48.55,46.89,47.9,48.31,47.38,48.9,49.01,47.73,48.56,49.34,48.28,3.28,"[5.0, 3.5, 4.0, 3.5, 1.0]",5.0,3.5,4.0,3.5,1.0,True,False,True,False,True,False,True,False,True,False,45.51,False,False
APD,Air Products and Chemicals Inc. Common Stock,60310928296.0,2560504,0,False,2025-02-06,Before market open,327.93,True,1.82,"[4.0, 1.5, 0.0, 2.5, 1.5]","[0.243, 0.071, 0.274, 0.119, 0.293]",0.7,-0.97,2.79,+/-,331.13,327.93,326.14,334.6,316.04,317.96,308.56,318.12,305.65,308.67,309.4,302.08,307.61,309.86,305.68,308.47,309.53,304.65,313.25,314.2,308.37,1.82,"[4.0, 1.5, 0.0, 2.5, 1.5]",4.0,1.5,0.0,2.5,1.5,True,False,True,False,False,False,True,False,True,False,327.93,False,False
ABNB,Airbnb Inc. Class A Common Stock,77247406273.0,2905028,0,False,2025-02-13,After market close,158.18,True,1.89,"[6.5, 3.0, 4.0, -3.0, -1.5]","[0.2, 0.105, 0.281, 0.152, 0.262]",0.65,12.57,-10.68,+/+,140.52,139.64,141.04,141.94,138.76,158.18,161.42,163.93,156.93,160.6,162.58,158.07,157.98,160.0,155.21,155.31,157.75,152.47,146.07,154.57,145.75,1.89,"[6.5, 3.0, 4.0, -3.0, -1.5]",6.5,3.0,4.0,-3.0,-1.5,False,False,False,False,False,False,False,True,False,True,158.18,True,True
AKAM,Akamai Technologies Inc. Common Stock,12052460036.0,1354992,0,False,2025-02-20,After market close,89.0,True,1.31,"[3.0, 2.0, 4.0, -4.0, -1.5]","[0.22, 0.14, 0.305, 0.14, 0.195]",0.5,-11.23,12.54,+/-,100.26,100.34,98.03,100.66,97.22,89.0,76.73,89.89,76.5,77.65,79.7,75.5,78.05,78.79,76.6,79.58,79.94,77.64,77.87,80.08,77.82,1.31,"[3.0, 2.0, 4.0, -4.0, -1.5]",3.0,2.0,4.0,-4.0,-1.5,True,False,True,False,True,False,False,False,False,False,89.0,False,False
AGI,Alamos Gold Inc. Class A Common Shares,10819784592.0,12638583,0,False,2025-02-19,After market close,22.84,True,3.29,"[4.0, 3.5, 6.0, 2.0, -1.0]","[0.235, 0.135, 0.3, 0.135, 0.195]",0.65,0.7,2.59,+/+,22.68,22.55,22.66,22.78,22.42,22.84,23.25,24.25,22.8,22.67,23.15,22.61,23.15,23.38,22.34,23.11,23.18,22.54,23.55,23.81,22.88,3.29,"[4.0, 3.5, 6.0, 2.0, -1.0]",4.0,3.5,6.0,2.0,-1.0,False,False,False,False,False,False,False,False,False,True,22.84,True,True
ALK,Alaska Air Group Inc. Common Stock,5378515942.0,3828952,0,False,2025-01-22,After market close,69.76,True,2.05,"[8.5, 2.5, 3.0, -3.5, -1.5]","[0.224, 0.086, 0.274, 0.133, 0.283]",0.65,1.28,0.77,+/+,68.88,69.9,67.4,70.21,67.05,69.76,68.85,71.7,67.82,69.95,70.22,67.45,70.46,71.63,69.15,71.41,71.58,70.0,72.2,72.89,71.63,2.05,"[8.5, 2.5, 3.0, -3.5, -1.5]",8.5,2.5,3.0,-3.5,-1.5,False,False,False,False,False,False,False,True,False,True,69.76,True,True
ALB,Albemarle Corporation Common Stock,6990917991.0,2826316,0,False,2025-02-12,After market close,79.45,True,-0.29,"[5.0, -4.5, 0.0, 1.0, -1.5]","[0.148, 0.2, 0.285, 0.17, 0.198]",0.45,5.55,-5.84,-/+,75.28,75.3,76.17,76.73,74.16,79.45,78.81,82.57,74.53,80.76,81.93,79.14,83.11,83.64,78.92,83.2,83.53,80.75,82.05,84.26,81.52,-0.29,"[5.0, -4.5, 0.0, 1.0, -1.5]",5.0,-4.5,0.0,1.0,-1.5,False,False,False,True,False,False,False,False,False,True,79.45,False,True
ACI,Albertsons Companies Inc. Class A Common Stock,12488014398.0,5653218,0,False,2025-01-08,Before market open,19.72,True,-1.18,"[1.5, 1.2, -4.0, 1.5, -2.5]","[0.238, 0.076, 0.276, 0.124, 0.286]",0.4,1.42,-2.6,-/+,19.44,19.72,19.6,19.72,19.3,19.59,19.67,19.74,19.43,20.37,20.4,19.7,20.43,20.62,20.16,20.13,20.44,19.76,19.91,20.18,19.85,-1.18,"[1.5, 1.2, -4.0, 1.5, -2.5]",1.5,1.2,-4.0,1.5,-2.5,False,False,False,False,False,True,False,False,False,True,19.72,False,True
AA,Alcoa Corporation Common Stock ,6655916304.0,5296229,0,False,2025-01-22,After market close,37.48,True,1.55,"[8.0, -2.5, 0.0, -3.0, 1.2]","[0.229, 0.086, 0.276, 0.133, 0.276]",0.6,-2.62,4.17,+/-,38.49,39.48,38.66,39.72,38.56,37.48,37.23,37.87,35.98,37.31,37.73,36.58,34.86,36.48,34.8,34.04,35.31,33.93,35.02,35.15,34.21,1.55,"[8.0, -2.5, 0.0, -3.0, 1.2]",8.0,-2.5,0.0,-3.0,1.2,True,False,False,False,False,False,False,False,True,False,37.48,False,False
ALC,Alcon Inc. Ordinary Shares,47567251879.0,766399,0,False,2025-02-25,,93.31,True,-0.68,"[0.0, 1.5, 0.0, -3.0, -1.5]","[0.236, 0.081, 0.281, 0.129, 0.274]",0.15,4.49,-5.17,-/+,89.3,90.78,91.11,91.8,89.61,94.34,93.31,95.36,92.39,91.97,92.89,91.69,92.5,92.84,91.68,94.14,94.93,93.04,92.59,93.59,92.49,-0.68,"[0.0, 1.5, 0.0, -3.0, -1.5]",0.0,1.5,0.0,-3.0,-1.5,False,False,False,False,False,False,False,True,False,True,94.34,False,True
ARE,Alexandria Real Estate Equities Inc. Common Stock,12569371585.0,2479522,0,False,2025-01-27,After market close,100.17,True,1.15,"[4.5, 1.5, 0.0, 2.0, -1.5]","[0.21, 0.145, 0.3, 0.145, 0.2]",0.7,-0.06,1.21,+/-,100.23,100.87,100.7,103.0,100.23,100.17,95.91,100.28,94.73,94.47,97.3,94.13,94.53,97.05,93.71,96.01,96.69,93.82,93.27,95.47,93.06,1.15,"[4.5, 1.5, 0.0, 2.0, -1.5]",4.5,1.5,0.0,2.0,-1.5,True,False,True,False,False,False,True,False,False,False,100.17,False,False
AQN,Algonquin Power & Utilities Corp. Common Shares,4044474343.0,10380675,0,False,2025-03-07,Before market open,4.55,True,-2.01,"[-2.0, 2.0, -3.0, -3.5, -1.5]","[0.238, 0.076, 0.271, 0.124, 0.29]",0.65,-3.76,1.75,-/-,4.73,4.55,4.74,4.74,4.24,4.69,4.83,5.03,4.67,4.65,4.85,4.6,4.77,4.84,4.58,4.84,4.9,4.77,5.01,5.03,4.81,-2.01,"[-2.0, 2.0, -3.0, -3.5, -1.5]",-2.0,2.0,-3.0,-3.5,-1.5,False,False,True,False,False,False,False,False,False,False,4.55,True,False
